id,name,sku,price,regular_price,sale_price,currency,in_stock,categories,permalink,short_description,description,images,local_images
6033,Handmade Phulkari Dupatta,,2950.0,4000.0,2950.0,PKR,False,Embroidered Phulkari Dupatta,https://sindhhandicrafts.com/product/phulkari-dupatta-pakistan/,,"Classy Phulkari Dupatta Pakistan Size LxW Approx: 8 ft × 3.25 ft Hand Embroidered Dupatta Sequins & Thread Work Fabric: Chiffon Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-7a.jpg?v=1746090236 | https://sindhhandicrafts.com/wp-content/uploads/2025/05/Handmade-Phulkari-Dupatta-7b.jpg?v=1746090240,
7182,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/soosi-dress-design/,,"Sindhi Soosi Dress Design Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2024/01/Susi-Soosi-Banarsi-Dress-for-Women-42.jpg?v=1761409658,
7073,3 Piece Banarsi Susi (Soosi) Dress,,3150.0,4000.0,3150.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/sindhi-soosi-dress/,,"Classic Sindhi Soosi Dress – Banarsi Unstitched Material : Banarsi Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/10/Susi-Soosi-Dress-for-Women-3.jpg?v=1760978823,
6502,3 Piece Banarsi Susi (Soosi) Dress,,3150.0,4000.0,3150.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/soosi-suits/,,"Sindhi Soosi Suits – Banarsi Unstitched Material : Banarsi Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/07/Susi-Soosi-Banarsi-Dress-for-Women-31.jpg?v=1752770543,
6296,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-suit/,,"Stylish Ladies Susi Suit Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Susi-Soosi-Banarsi-Dress-for-Women-40a.jpg?v=1763459220,
6294,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/soosi-dress/,,"Classy Ladies Soosi Dress Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Susi-Soosi-Banarsi-Dress-for-Women-41a.jpg?v=1763459185,
6293,3 Piece Banarsi Susi (Soosi) Dress,,3150.0,4000.0,3150.0,PKR,False,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-shalwar-and-kameez/,,"Susi Shalwar and Kameez with Dupatta Unstitched Material : Banarsi Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Susi-Soosi-Banarsi-Dress-for-Women-39a.jpg?v=1763459463,
5000,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-fabric-for-summer/,,"Susi Fabric for Summer – Beautiful Design Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2024/11/Susi-Soosi-Banarsi-Dress-for-Women-37.jpg?v=1744742288,
4999,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,False,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-clothing/,,"Sindhi Susi Clothing for Women Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2024/11/Susi-Soosi-Banarsi-Dress-for-Women-36.jpg?v=1744742441,
4787,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-cloth/,,"Traditional Susi Cloth – Sindhi Dress Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2024/01/Susi-Soosi-Banarsi-Dress-for-Women-45.jpg?v=1777182516,
4788,3 Piece Susi (Soosi) Dress,,3400.0,4500.0,3400.0,PKR,True,Susi (Soosi) Fabric Dresses,https://sindhhandicrafts.com/product/susi-design/,,"Sindhi Susi Design – Fascinating Dress Unstitched Material : Susi (Soosi) Fabric 3 Piece. Kameez, Shalwar and Dupatta Size Approx: Dupatta 2.5 yards Shalwar 2.5 yards Kameez 3.0 yards Disclaimer– Due to differences in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen",https://sindhhandicrafts.com/wp-content/uploads/2024/10/Susi-Soosi-Banarsi-Dress-for-Women-25.jpg?v=1730257324,
7124,Sindhi Ajrak with Mirror work (for Ladies),,1950.0,2500.0,1950.0,PKR,True,Sindhi Ajrak,https://sindhhandicrafts.com/product/ladies-ajrak/,,"Stylish Ladies Ajrak Size Approx.: 7.5×3.5 Feet (Large) Fabric: Cotton Embroidered with hand block printing (Natural Dyes used) Faux Mirror work Perfect with all outfits Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/10/Mirror-Work-Ajrak-Design-For-Women-29.jpg?v=1777175258,
6883,Traditional Sindhi Ajrak,,1950.0,2500.0,1950.0,PKR,False,Sindhi Ajrak,https://sindhhandicrafts.com/product/traditional-ajrak/,,"Traditional Ajrak Love from Sindh, Pakistan Size Approx.: 84 x 60 inches – Large Fabric: Linen Vibrant color Classic wear for all occasions Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/08/Linen-Ajrak-Chadar-2a.jpg?v=1756201205 | https://sindhhandicrafts.com/wp-content/uploads/2025/08/Linen-Ajrak-Chadar-2b.jpg?v=1756201211,
6223,Vibrant Red Sindhi Ajrak,,1100.0,1500.0,1100.0,PKR,True,Sindhi Ajrak,https://sindhhandicrafts.com/product/red-ajrak-design/,,"Lively Red Ajrak Design Popular Traditional Pattern Size: Large Fabric: Polyester Traditional Red color Perfect wear for all occasions Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2025/05/Red-Ajrak.jpg?v=1747935523,
5644,Sindhi Ajrak with Mirror work (for Ladies),,1950.0,2500.0,1950.0,PKR,True,Sindhi Ajrak | Fancy Dupatta Designs,https://sindhhandicrafts.com/product/mirror-ajrak/,,"Mirror Ajrak (Sindhi) Fine Art of the Region Size Approx.: 7.5×3.5 Feet (Large) Fabric: Cotton Handcrafted with block printing (Natural Dyes used) Mirror work Perfect for wearing in all occasions Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Mirror-Work-Ajrak-Design-for-women19.jpg?v=1741112076,
5118,Classic Saraiki Ajrak,,1500.0,2000.0,1500.0,PKR,True,Sindhi Ajrak,https://sindhhandicrafts.com/product/saraiki-ajrak-design/,,"Iconic Saraiki Ajrak Design Filled with the essence of Cultural and Traditional heritage Size Approx.: 80×44 inches – Large Material: Cotton Hand Block Printed with Natural Dyes Perfect for wearing in all occasions Ideal to gift your loved ones Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/11/Saraiki-Ajrak-1a.jpg?v=1756197230 | https://sindhhandicrafts.com/wp-content/uploads/2024/11/Saraiki-Ajrak-1b.jpg?v=1756197235,
5030,Traditional Thari Shawl for Men,,1600.0,2500.0,1600.0,PKR,True,Sindhi Ajrak,https://sindhhandicrafts.com/product/thari-shawl/,,"Thari Shawl (also known as Sindhi Lungi/ Thari Lungi) Iconic Handicrafts of Sindh Size Approx.: L X W 7 ft X 1.5 ft (Large) Fabric: Mix Cotton Polyester Hand Woven/ Embroidered Multi-color Pattern Ideal for wearing at occasions such as Weddings, Engagements, Cultural Programs, Events etc. Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/11/Thari-Shawl_Sindhi-Lungi.jpg?v=1731007431,
4764,Sindhi Ajrak with Mirror work (for Ladies),,1950.0,2500.0,1950.0,PKR,True,Sindhi Ajrak,https://sindhhandicrafts.com/product/ajrak-design-for-girl/,,"Unique Ajrak Design for Girls Size Approx.: 7.5×3.5 Feet (Large) Fabric: Cotton Embroidered with hand block printing (Natural Dyes used) Faux Mirror work Perfect with all outfits Disclaimer– Due to difference in screen settings across devices as well as photographic lighting sources, actual colors of the product might slightly vary compared to how they are visible on your screen.",https://sindhhandicrafts.com/wp-content/uploads/2024/09/Mirror-Work-Ajrak-Design-for-women812.jpg?v=1730257277,
